Вариант 5: N=460 точек, размерность=4, seed=1185
Матрица расстояний 460x460 построена за 0.143 с
Задание: профилируйте эту программу (cProfile / line_profiler) и найдите,
сколько времени и почему уходит именно на compute_pairwise_distances().
         437809 function calls (437526 primitive calls) in 0.164 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     19/1    0.002    0.000    0.164    0.164 {built-in method builtins.exec}
        1    0.001    0.001    0.164    0.164 starter.py:1(<module>)
        1    0.000    0.000    0.158    0.158 starter.py:52(main)
        1    0.120    0.120    0.143    0.143 starter.py:36(compute_pairwise_distances)
     20/5    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap>:1360(_find_and_load)
     20/5    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     20/5    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:914(_load_unlocked)
     13/4    0.000    0.000    0.016    0.004 <frozen importlib._bootstrap_external>:753(exec_module)
    51/11    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
        1    0.000    0.000    0.014    0.014 argparse.py:1866(__init__)
        2    0.000    0.000    0.013    0.007 argparse.py:1506(add_argument)
        4    0.000    0.000    0.013    0.003 argparse.py:2733(_get_validation_formatter)
        1    0.000    0.000    0.013    0.013 argparse.py:2728(_get_formatter)
        1    0.000    0.000    0.013    0.013 argparse.py:168(__init__)
   211141    0.013    0.000    0.013    0.000 {built-in method math.sqrt}
211639/211629    0.011    0.000    0.011    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
       20    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
        7    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1051(create_module)
        7    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.005    0.002 argparse.py:199(_set_color)
        1    0.000    0.000    0.004    0.004 _colorize.py:1(<module>)
        5    0.000    0.000    0.004    0.001 dataclasses.py:1431(wrap)
        5    0.000    0.000    0.004    0.001 dataclasses.py:986(_process_class)
       13    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:826(get_code)
      4/3    0.000    0.000    0.003    0.001 {built-in method builtins.__import__}
      4/3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1409(_handle_fromlist)
        3    0.000    0.000    0.003    0.001 __init__.py:1(<module>)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:947(get_data)
        5    0.000    0.000    0.002    0.000 dataclasses.py:478(add_fns_to_class)
       13    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
    53/51    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
       13    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
        4    0.000    0.000    0.001    0.000 inspect.py:3320(signature)
        1    0.000    0.000    0.001    0.001 starter.py:31(generate_points)
        4    0.000    0.000    0.001    0.000 inspect.py:3033(from_callable)
     12/4    0.000    0.000    0.001    0.000 inspect.py:2413(_signature_from_callable)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        4    0.000    0.000    0.001    0.000 inspect.py:2307(_signature_from_function)
    67/38    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x105914908}
     1840    0.000    0.000    0.000    0.000 random.py:500(uniform)
        7    0.000    0.000    0.000    0.000 __init__.py:330(_compile)
        3    0.000    0.000    0.000    0.000 enum.py:480(__new__)
        6    0.000    0.000    0.000    0.000 __init__.py:287(compile)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
        5    0.000    0.000    0.000    0.000 _compiler.py:757(compile)
     69/9    0.000    0.000    0.000    0.000 annotationlib.py:907(get_annotations)
        8    0.000    0.000    0.000    0.000 dataclasses.py:541(__annotate__)
       16    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
      119    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       29    0.000    0.000    0.000    0.000 enum.py:239(__set_name__)
      283    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
